ID Xe,Thời gian vi phạm,Đường dẫn ảnh
2,2025-05-22 14:12:59,vi_pham\car_2_1.jpg
3,2025-05-22 14:12:59,vi_pham\car_3_1.jpg
9,2025-05-22 14:12:59,vi_pham\car_9_1.jpg
11,2025-05-22 14:12:59,vi_pham\car_11_1.jpg
1,2025-05-22 14:13:02,vi_pham\car_1_17.jpg
5,2025-05-22 14:13:03,vi_pham\car_5_27.jpg
25,2025-05-22 14:13:05,vi_pham\car_25_43.jpg
29,2025-05-22 14:13:08,vi_pham\car_29_62.jpg
31,2025-05-22 14:13:09,vi_pham\car_31_69.jpg
22,2025-05-22 14:13:10,vi_pham\car_22_75.jpg
35,2025-05-22 14:13:12,vi_pham\car_35_89.jpg
36,2025-05-22 14:13:13,vi_pham\car_36_96.jpg
41,2025-05-22 14:13:13,vi_pham\car_41_100.jpg
33,2025-05-22 14:13:15,vi_pham\car_33_115.jpg
19,2025-05-22 14:13:15,vi_pham\car_19_116.jpg
48,2025-05-22 14:13:16,vi_pham\car_48_123.jpg
53,2025-05-22 14:13:21,vi_pham\car_53_162.jpg
56,2025-05-22 14:13:28,vi_pham\car_56_217.jpg
68,2025-05-22 14:13:35,vi_pham\car_68_265.jpg
71,2025-05-22 14:13:38,vi_pham\car_71_284.jpg
